"","X","Lot_Shape","Land_Contour","Utility","Land_Slope","Exter_Qual","Exter_Cond","Bsmt_Qual","Bsmt_Cond","Bsmt_Exposure","Bsmt_FinType1","Bsmt_FinType2","Heating_QC","Central_Air","Kitchen_Qual","Func","Fireplace_Qu","Garage_Finish","Garage_Quality","Garage_Cond","Paved_Drive","Pool_Qual","Fence_","MSSubClass","LotFrontage","LotArea","OverallCond","YearBuilt","MasVnrArea","X1stFlrSF","X2ndFlrSF","GrLivArea","BedroomAbvGr","KitchenAbvGr","TotRmsAbvGrd","Fireplaces","MoSold","YrSold","SalePrice","renovation","bath","totalsf","MSZoningC","MSZoningFV","MSZoningRH","MSZoningRL","MSZoningRM","LotConfigCulDSac","LotConfigFR2","LotConfigFR3","LotConfigInside","NeighborhoodBlueste","NeighborhoodBrDale","NeighborhoodBrkSide","NeighborhoodClearCr","NeighborhoodCollgCr","NeighborhoodCrawfor","NeighborhoodEdwards","NeighborhoodGilbert","NeighborhoodIDOTRR","NeighborhoodMeadowV","NeighborhoodMitchel","NeighborhoodNAmes","NeighborhoodNoRidge","NeighborhoodNPkVill","NeighborhoodNridgHt","NeighborhoodNWAmes","NeighborhoodOldTown","NeighborhoodSawyer","NeighborhoodSawyerW","NeighborhoodSomerst","NeighborhoodStoneBr","NeighborhoodSWISU","NeighborhoodTimber","NeighborhoodVeenker","Condition1Feedr","Condition1Norm","Condition1PosA","Condition1PosN","Condition1RRAe","Condition1RRAn","Condition1RRNe","Condition1RRNn","BldgType2fmCon","BldgTypeDuplex","BldgTypeTwnhs","BldgTypeTwnhsE","HouseStyle1.5Unf","HouseStyle1Story","HouseStyle2.5Fin","HouseStyle2.5Unf","HouseStyle2Story","HouseStyleSFoyer","HouseStyleSLvl","MasVnrTypeBrkFace","MasVnrTypeNone","MasVnrTypeStone","FoundationCBlock","FoundationPConc","FoundationSlab","FoundationStone","FoundationWood","GarageTypeAttchd","GarageTypeBasment","GarageTypeBuiltIn","GarageTypeCarPort","GarageTypeDetchd","GarageTypeNone","SaleTypeCon","SaleTypeConLD","SaleTypeConLI","SaleTypeConLw","SaleTypeCWD","SaleTypeNew","SaleTypeOth","SaleTypeWD","SaleConditionAdjLand","SaleConditionAlloca","SaleConditionFamily","SaleConditionNormal","SaleConditionPartial","ifelse(Lot_Shape == ""IR3"", ""IR2"", Lot_Shape)"
"1",1,4,4,4,3,4,3,4,3,1,6,1,5,1,4,7,0,2,3,3,2,0,0,60,65,9.04192172035122,5,2003,196,856,854,1710,3,1,8,0,2,2008,12.247694320221,0,3.5,609,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,4
"2",2,4,4,4,3,3,3,4,3,4,5,1,5,1,3,7,3,2,3,3,2,0,0,20,80,9.16951837745593,8,1976,0,1262,0,1262,3,1,6,1,5,2007,12.109010932687,0,2.5,758,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,4
"3",3,3,4,4,3,4,3,4,3,2,6,1,5,1,4,7,3,2,3,3,2,0,0,60,68,9.32812340763257,5,2001,162,920,866,1786,3,1,6,1,9,2008,12.3171666930358,3,3.5,650,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3
"4",4,3,4,4,3,3,3,3,4,1,5,1,4,1,4,7,4,1,3,3,2,0,0,70,60,9.16429643347478,5,1915,0,961,756,1717,3,1,7,1,2,2006,11.8493977015914,2,2,949,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3
"5",5,3,4,4,3,4,3,4,3,3,6,1,5,1,4,7,3,2,3,3,2,0,0,60,84,9.56521369396829,5,2000,350,1145,1053,2198,4,1,9,1,12,2008,12.4292161968444,0,3.5,1112,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3
"6",6,3,4,4,3,3,3,4,3,1,6,1,5,1,3,7,0,1,3,3,2,0,3,50,85,9.55499334068759,5,1993,0,796,566,1362,1,1,5,0,10,2009,11.870599909242,2,2.5,870,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3
"7",7,4,4,4,3,4,3,5,3,3,6,1,5,1,4,7,4,2,3,3,2,0,0,20,75,9.21870528830781,5,2004,186,1694,0,1694,3,1,7,1,8,2007,12.6346030265693,3,3,948,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,4
"8",8,3,4,4,3,3,3,4,3,2,5,4,5,1,3,7,3,2,3,3,2,0,0,60,87.515,9.24782881638717,6,1973,240,1107,983,2090,3,1,7,2,11,2009,12.2060726455302,0,3.5,1151,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3
"9",9,4,4,4,3,3,3,3,3,1,1,1,4,1,3,6,3,1,2,3,2,0,0,50,51,8.71931737550637,5,1931,0,1022,752,1774,2,2,8,2,4,2008,11.7745202026587,1,2,763,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4
"10",10,4,4,4,3,3,3,3,3,1,6,1,5,1,3,7,3,2,4,3,2,0,0,190,50,8.91193433616143,6,1939,0,1077,0,1077,2,2,5,2,1,2008,11.6784399034478,1,2,209,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,4
